ProductoID,ProductoNombre,ProductoPrecio,ProductoStock,UnidaMedidaID,ProductoStatus
ACBROB651947,KIT HERRAMIENTAS BROBOTIX PARA COMPUTADORA 145 PIEZAS,1835,2,Pza,VERDADERO
ACBROB651961,KIT HERRAMIENTAS BROBOTIX PARA LAPTOP Y SMARTPHONE 24 PIEZAS,509,2,Pza,VERDADERO
ACBROB830,MALETIN BROBOTIX BACKPACK PARA LAPTOP 15.6 CHAMPION ASA METALICA,194,9,Pza,VERDADERO
ACBROBO256014-3,FUNDA BROBOTIX 14.0 PARA LAPTOP BASICA ROSA,124,3,Pza,VERDADERO
ACBROBO263458,CONVERTIDOR BROBOTIX USB A RJ45 V3.0 10/100/1000,439,1,Pza,VERDADERO
ACBROBPLUMA0380,PLUMA STYLUS BROBOTIX PARA TABLETA DUO PACK AZUL REY,39,10,Pza,VERDADERO
ACBROBPLUMA0397,PLUMA STYLUS BROBOTIX PARA TABLETA DUO PACK BLANCA,39,10,Pza,VERDADERO
ACBROBPLUMA0403,PLUMA STYLUS BROBOTIX P/TABLETA DUO PACK NEGRA,35,16,Pza,VERDADERO
ACBROBPLUMA0410,PLUMA STYLUS BROBOTIX PARA TABLETA DUO PACK PLATA,35,10,Pza,VERDADERO
ACCLEAN,ESPUMA LIMPIADORA PERFECT CHOICE 400G,60,100,Pza,VERDADERO
ACDBROB263601,CANDADO PARA LAPTOP BROBOTIX 1.80 MTS WEDGE COMBINACION,394,10,Pza,VERDADERO
ACDBROB764465,CANDADO PARA LAPTOP BROBOTIX 1.80 MTS WEDGE LLAVE,333,3,Pza,VERDADERO
ACDCM074A,MOUSEPAD BROBOTIX TIPO GEL AZUL MARINO,107,3,Pza,VERDADERO
ACDCM074N,MOUSEPAD BROBOTIX TIPO GEL NEGRO,105,12,Pza,VERDADERO
ACDCM101,MALETA DCM PARA LAPTOP 15.6 A 17 CARRY ON CON RUEDAS TIPO VIAJERO,944,5,Pza,VERDADERO
ACDCM112G,MALETIN PORTAFOLIO BROBOTIX PARA LAPTOP DE (15.6 A 17.0) LEADER GRIS,290,6,Pza,VERDADERO
ACDCM227,AUDIFONO IN-EAR ALAMBRICO BROBOTIX AISLADOR RUIDO PARA IPHONE METAL BLUE,49,7,Pza,VERDADERO
ACDCM264B,CARGADOR BROBOTIX USB PARA PARED 5V 2A 2 PUERTOS BLANCO,60,17,Pza,VERDADERO
ACDCM264N,CARGADOR BROBOTIX USB PARA PARED 5V 2A 2 PUERTOS NEGRO,61,12,Pza,VERDADERO
ACDCM601,CONVERTIDOR BROBOTIX USB A AUDIO 5.1 COLOR NEGRO,122,3,Pza,VERDADERO
ACDCM727,MALETIN PORTAFOLIO BROBOTIX PARA LAPTOP DE 15.6 AUTHENTIC NEGRO,211,3,Pza,VERDADERO
ACDCM767,MALETIN PORTAFOLIO BROBOTIX PARA LAPTOP DE 15.6 CHAMPION NEGRO,173,10,Pza,VERDADERO
ACDCM899,CANDADO DE COMBINACION BROBOTIX PARA LAPTOP 1.3M,102,59,Pza,VERDADERO
ACDELL460-BCMJ,MOCHILA DELL PRO SLIM 15 PULG NEGRO,503,30,Pza,VERDADERO
ACDELL460-BDJQ,MOCHILA DELL ECO LOOP URBAN 15 PULG GRIS,811,9,Pza,VERDADERO
ACEASL994084,CARGADOR EASY LINE PARA AUTO USB 2.0 DUAL SMARTPHONE Y TABLET BLANCO EL-994084,50,11,Pza,VERDADERO
ACHP4P5J3AA,AUDIFONO DIADEMA HP HYPEREX CLOUD CHAT ALAMBRICO NEGRO/AZUL,211,100,Pza,VERDADERO
ACHP4P5J8AA,AUDIFONO DIADEMA HP HYPEREX CLOUD STINGER CORE NEGRO-AZUL,530,100,Pza,VERDADERO
ACHP4P5J9AA,AUDIFONO DIADEMA HP HYPEREX CLOUD STINGER CORE VERDE-NEGRO,415,66,Pza,VERDADERO
ACLEN4X40T84059,MOCHILA LENOVO B210 15.6 NEGRO 4X40T84059,374,100,Pza,VERDADERO
ACMH100854,CARGADOR UNIVERSAL MANHATTAN PARA LAPTOP 70W,24,8,Pza,VERDADERO
ACMH102216,CARGADOR MANHATTAN DE AUTO INALAMBRICO DE CELULAR 10W,41,3,Pza,VERDADERO
ACMH130622,DOCKING MANHATTAN USB C 3 PUERTOS HDMI USB C PD/USB V3.2,41,2,Pza,VERDADERO
ACMH150859,CONVERTIDOR MANHATTAN USB 2.0 A TARJETA DE SONIDO 5.1,12,10,Pza,VERDADERO
ACMH151771,CONVERTIDOR MANHATTAN VIDEO USB-C A SVGA H,23,7,Pza,VERDADERO
ACMH151788,CONVERTIDOR MANHATTAN VIDEO USB-C A HDMI H,24,18,Pza,VERDADERO
ACMH152754,CONVERTIDOR MANHATTAN USB 2.0 A TARJETA DE SONIDO 2.1,12,5,Pza,VERDADERO
ACMH153478,DOCKING STATION MANHATTAN VIDEO USB-C A 11 PUERTOS,170,4,Pza,VERDADERO
ACMH180009,ESTACION DE CARGA MANHATTAN USB 10 DISPOSITIVOS,116,1,Pza,VERDADERO
ACMH180856,ESTACION DE CARGA MANHATTAN USB 10 DISPOSITIVO 120W,112,2,Pza,VERDADERO
ACMH207386,EXTENSOR DE VIDEO MAHATTAN HDMI 30M VIA CAT5E/CAT6,60,21,Pza,VERDADERO
ACMH207461,EXTENSOR VIDEO MANHATTAN HDMI 50M VIA CAT 6 (UN CABLE),90,11,Pza,VERDADERO
ACMH207584,EXTENSOR VIDEO MANHATTAN HDMI 50M VIA CAT6 1080P,92,7,Pza,VERDADERO
ACMH421010,MINI EQUIPO DE LIMPIEZA PARA LCD MANHATTAN,5,12,Pza,VERDADERO
ACMH421027,EQUIPO DE LIMPIEZA PARA LCD MANHATTAN,10,15,Pza,VERDADERO
ACMH421430,MALETIN PORTAFOLIO MANHATTAN 15.4 TIMES SQUARE NEGRO,24,8,Pza,VERDADERO
ACMH421560,MALETIN PORTAFOLIO MANHATTAN 17 EMPIRE,24,12,Pza,VERDADERO
ACMH423526,MOUSEPAD MANHATTAN SIN BOLSA 6MM NEGRO,2,25,Pza,VERDADERO
ACMH423533,MOUSEPAD MANHATTAN 6MM CON BOLSA NEGRO,2,93,Pza,VERDADERO
ACMH425520,DESCANSA MUnECAS MANHATTAN PARA TECLADO 44.5 X 10CM,11,5,Pza,VERDADERO
ACMH434386,MOUSEPAD MANHATTAN TIPO GEL AZUL MARINO,7,17,Pza,VERDADERO
ACMH438889,MALETIN MANHATTAN 15.6 LONDON,15,65,Pza,VERDADERO
ACMH439862,MALETIN MANHATTAN PORTAFOLIO 12.5 LONDON,12,2,Pza,VERDADERO
ACMH439893,MALETIN MANHATTAN PORTAFOLIO 14.1 LONDON,15,2,Pza,VERDADERO
ACMH439947,MALETIN MANHATTAN PORTAFOLIO CAMBRIDGE 15.6,17,3,Pza,VERDADERO
ACMH439985,MALETIN MANHATTAN PORTAFOLIO CAMBRIDGE 14.1,19,8,Pza,VERDADERO
ACMH440363,MALETIN PORTAFOLIO MANHATTAN 14.1 HELSINKI,28,2,Pza,VERDADERO
ACMH440370,MOCHILA PARA VIAJE MANHATTAN 17.3 ROME CAPACIDAD 40L INCLUYE 3 FUNDAS BLANDAS,69,3,Pza,VERDADERO
ACMH780094,PROBADOR DE CABLES INTELLINET RJ11 RJ45 USB FIREWIRE,47,3,Pza,VERDADERO
ACMIC009,AUDIFONO DIADEMA ALAMBRICO PERFECT CHOICE C/MICROF FEXIBLE USB,337,7,Pza,VERDADERO
ACMIC012BROB,AUDIFONOS DIADEMA BROBOTIX TIPO GAMER CON MICROFONO AJUSTABLE EXTRA SUAVE,207,2,Pza,VERDADERO
ACMIC171,AUDIFONO DIADEMA ALAMBRICO PERFECT CHOICE NEGRO 3.5MM 1.5M PC-113171,109,8,Pza,VERDADERO
ACMIC241,AUDIFONO IN-EAR ALAMBRICO EASY LINE GRIS/BLANCO CON MICROFONO EL-995241,84,5,Pza,VERDADERO
ACMIC279,MICROFONO DE ESCRITORIO PERFECT CHOICE LUJO CON CUELLO FLEXIBLE,168,5,Pza,VERDADERO
ACMIC370,AUDIFONOS C/MICROFONO ACTECK TIPO DIADEMA 1.8M,60,37,Pza,VERDADERO
ACMIC470,AUDIFONO IN-EAR INALAMBRICO EASY LINE VIVA BUDS TWS BLANCO 2HRS ESTUCHE BLUETOOTH 5.0 EL-995470,253,3,Pza,VERDADERO
ACMIC500,AUDIFONO IN-EAR EASY LINE INALAMBRICO TWS VIVA LIGHTS CON MICROFONO (2 HORAS) BLUETOOTH 5.1 NEGRO EL-995500,296,1,Pza,VERDADERO
ACMIC517,AUDIFONO IN-EAR EASY LINE INALAMBRICO TWS VIVA LIGHTS CON MICROFONO (2 HORAS) BLUETOOTH 5.1 BLANCO EL-995517,337,3,Pza,VERDADERO
ACMIC5265,AUDIFONO DIADEMA INALAMBRICO EASY-LINE GRIS 4HR 3.5MM BLUETOOTH 5.0 EL-995265,209,6,Pza,VERDADERO
ACMIC5272,AUDIFONO DIADEMA INALAMBRICO EASY-LINE CORAL 4HR 3.5MM BLUETOOTH 5.0 EL-995272,209,10,Pza,VERDADERO
ACMIC5289,AUDIFONO DIADEMA INALAMBRICO EASY-LINE VERDE 4HR 3.5MM BLUETOOTH 5.0 EL-995289,210,5,Pza,VERDADERO
ACMIC583,MICROFONO PERFECT CHOICE CON FILTRO ANTI POP Y TRIPIE DE ESCRITORIO 3.5MM FRECUENCIA DE 20HZ NEGRO,326,2,Pza,VERDADERO
ACMIC608,AUDIFONO IN-EAR ALAMBRICO PERFECT CHOICE NEGRO STRETTO C/MICROF 3.5MM 1.2M,125,13,Pza,VERDADERO
ACMIC6523,AUDIFONO IN-EAR INALAMBRICO PERFECT CHOICE NEGRO 5HR TWS EXTRA BASS BLUETOOTH 5.0,422,4,Pza,VERDADERO
ACMIC6547,AUDIFONO IN-EAR INALAMBRICO PERFECT CHOICE BLANCO 5HR TWS EXTRA BASS BLUETOOTH 5.0,422,4,Pza,VERDADERO
